"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","1.4754","1.4986","1.5074","1.4710","","-1.55%"
"06/01/2024","1.4986","1.5050","1.5207","1.4914","","-0.29%"
"05/01/2024","1.5029","1.5444","1.5468","1.4895","","-2.69%"
"04/01/2024","1.5444","1.5334","1.5719","1.5048","","0.74%"
"03/01/2024","1.5330","1.5386","1.5439","1.4994","","-0.34%"
"02/01/2024","1.5382","1.5229","1.5524","1.5125","","1.01%"
"01/01/2024","1.5228","1.4682","1.5326","1.4619","","3.73%"
"12/01/2023","1.4680","1.5137","1.5326","1.4551","","-3.03%"
"11/01/2023","1.5138","1.5783","1.5829","1.4976","","-4.06%"
"10/01/2023","1.5778","1.5549","1.5950","1.5512","","1.54%"
"09/01/2023","1.5538","1.5428","1.5797","1.5331","","0.77%"
"08/01/2023","1.5420","1.4879","1.5712","1.4870","","3.62%"
"07/01/2023","1.4881","1.5000","1.5155","1.4501","","-0.77%"
"06/01/2023","1.4997","1.5378","1.5423","1.4492","","-2.43%"
"05/01/2023","1.5370","1.5130","1.5486","1.4664","","1.73%"
"04/01/2023","1.5108","1.4947","1.5215","1.4691","","1.03%"
"03/01/2023","1.4954","1.4861","1.5236","1.4739","","0.64%"
"02/01/2023","1.4859","1.4170","1.4931","1.3969","","4.86%"
"01/01/2023","1.4170","1.4676","1.4954","1.3999","","-3.43%"
"12/01/2022","1.4674","1.4739","1.5087","1.4504","","-0.39%"
"11/01/2022","1.4732","1.5626","1.5945","1.4703","","-5.72%"
"10/01/2022","1.5625","1.5601","1.6207","1.5270","","0.10%"
"09/01/2022","1.5610","1.4617","1.5717","1.4456","","6.79%"
"08/01/2022","1.4618","1.4322","1.4632","1.4009","","2.14%"
"07/01/2022","1.4312","1.4487","1.4968","1.4219","","-1.19%"
"06/01/2022","1.4484","1.3936","1.4598","1.3729","","3.94%"
"05/01/2022","1.3935","1.4139","1.4645","1.3760","","-1.55%"
"04/01/2022","1.4154","1.3363","1.4175","1.3051","","5.90%"
"03/01/2022","1.3365","1.3771","1.3958","1.3261","","-2.92%"
"02/01/2022","1.3767","1.4146","1.4220","1.3726","","-2.68%"
"01/01/2022","1.4146","1.3770","1.4353","1.3670","","2.73%"
"12/01/2021","1.3770","1.4033","1.4301","1.3740","","-1.85%"
"11/01/2021","1.4029","1.3317","1.4159","1.3267","","5.54%"
"10/01/2021","1.3293","1.3841","1.3905","1.3233","","-3.92%"
"09/01/2021","1.3835","1.3669","1.3948","1.3371","","1.23%"
"08/01/2021","1.3667","1.3621","1.4074","1.3463","","0.40%"
"07/01/2021","1.3613","1.3337","1.3720","1.3157","","2.11%"
